Mount Hutt R. crithmifolius site,,,,
,,,,
date,probe_1,probe_2,probe_3,probe_4
11/12/2020 0:06,0.0497,0.1027,0.0722,0.1303
11/12/2020 0:36,0.0497,0.102,0.0715,0.1296
11/12/2020 1:06,0.049,0.102,0.0715,0.1296
11/12/2020 1:36,0.049,0.1012,0.0707,0.1288
11/12/2020 2:06,0.049,0.1005,0.0707,0.1281
11/12/2020 2:36,0.049,0.1005,0.07,0.1274
11/12/2020 3:06,0.0482,0.1005,0.07,0.1274
11/12/2020 3:36,0.0482,0.1005,0.07,0.1267
11/12/2020 4:06,0.0482,0.0998,0.07,0.1259
11/12/2020 4:36,0.0475,0.0998,0.0693,0.1259
11/12/2020 5:06,0.0475,0.0998,0.0686,0.1252
11/12/2020 5:36,0.0475,0.0998,0.0693,0.1252
11/12/2020 6:06,0.0468,0.0991,0.0686,0.1252
11/12/2020 6:36,0.0468,0.0991,0.0686,0.1245
11/12/2020 7:06,0.0468,0.0991,0.0686,0.1245
11/12/2020 7:36,0.0468,0.0991,0.0686,0.1238
11/12/2020 8:06,0.0468,0.0998,0.0678,0.1238
11/12/2020 8:36,0.0468,0.0991,0.0678,0.123
11/12/2020 9:06,0.046,0.0976,0.0657,0.1245
11/12/2020 9:36,0.046,0.0969,0.0649,0.123
11/12/2020 10:06,0.0453,0.0969,0.0649,0.1238
11/12/2020 10:36,0.0453,0.0976,0.0649,0.1238
11/12/2020 11:06,0.0468,0.0947,0.0649,0.1238
11/12/2020 11:36,0.0468,0.0954,0.0642,0.123
11/12/2020 12:06,0.0468,0.0947,0.0649,0.123
11/12/2020 12:36,0.0468,0.0954,0.0649,0.123
11/12/2020 13:06,0.0468,0.0954,0.0657,0.1238
11/12/2020 13:36,0.0468,0.0962,0.0657,0.1238
11/12/2020 14:06,0.0468,0.0962,0.0664,0.1245
11/12/2020 14:36,0.0468,0.0969,0.0664,0.1252
11/12/2020 15:06,0.0475,0.0962,0.0671,0.1245
11/12/2020 15:36,0.0482,0.0969,0.0678,0.1252
11/12/2020 16:06,0.0482,0.0976,0.0671,0.1259
11/12/2020 16:36,0.0482,0.0983,0.0686,0.1267
11/12/2020 17:06,0.0482,0.0983,0.0686,0.1281
11/12/2020 17:36,0.049,0.0983,0.0686,0.1274
11/12/2020 18:06,0.0482,0.0991,0.0686,0.1281
11/12/2020 18:36,0.0482,0.0991,0.0693,0.1281
11/12/2020 19:06,0.049,0.0998,0.0693,0.1288
11/12/2020 19:36,0.0482,0.0998,0.0693,0.1288
11/12/2020 20:06,0.049,0.0998,0.0693,0.1281
11/12/2020 20:36,0.0497,0.0998,0.0686,0.1274
11/12/2020 21:06,0.0497,0.0991,0.0686,0.1274
11/12/2020 21:36,0.049,0.0991,0.0686,0.1267
11/12/2020 22:06,0.0482,0.0983,0.0686,0.1274
11/12/2020 22:36,0.049,0.0991,0.0678,0.1259
11/12/2020 23:06,0.0482,0.0991,0.0678,0.1252
11/12/2020 23:36,0.0482,0.0983,0.0671,0.1245
11/13/20 12:06:55 AM,0.0482,0.0976,0.0664,0.1238
