Porter's Pass,,,,
,,,,
date,probe_1,probe_2,probe_3,probe_4
11/12/2020 0:06,0.3809,0.253,0.399,0.4274
11/12/2020 0:36,0.3802,0.253,0.399,0.4281
11/12/2020 1:06,0.3794,0.2523,0.3983,0.4274
11/12/2020 1:36,0.3787,0.2523,0.3976,0.4274
11/12/2020 2:06,0.378,0.2523,0.3976,0.4259
11/12/2020 2:36,0.378,0.2516,0.3976,0.4266
11/12/2020 3:06,0.378,0.2516,0.3969,0.4259
11/12/2020 3:36,0.3773,0.2516,0.3969,0.4259
11/12/2020 4:06,0.3765,0.2509,0.3961,0.4252
11/12/2020 4:36,0.3765,0.2509,0.3961,0.4252
11/12/2020 5:06,0.3758,0.2509,0.3961,0.4245
11/12/2020 5:36,0.3751,0.2501,0.3954,0.4245
11/12/2020 6:06,0.3758,0.2501,0.3947,0.4245
11/12/2020 6:36,0.3751,0.2501,0.3947,0.4245
11/12/2020 7:06,0.3751,0.2501,0.3947,0.4237
11/12/2020 7:36,0.3743,0.2494,0.394,0.423
11/12/2020 8:06,0.3751,0.2494,0.394,0.4237
11/12/2020 8:36,0.3743,0.2494,0.394,0.423
11/12/2020 9:06,0.3736,0.2494,0.3925,0.4216
11/12/2020 9:36,0.3743,0.2494,0.3932,0.423
11/12/2020 10:06,0.3729,0.2494,0.3925,0.4216
11/12/2020 10:36,0.3714,0.2487,0.3925,0.4201
11/12/2020 11:06,0.3714,0.2487,0.3911,0.4201
11/12/2020 11:36,0.3714,0.2487,0.3911,0.4201
11/12/2020 12:06,0.3707,0.248,0.3911,0.4194
11/12/2020 12:36,0.3707,0.248,0.3903,0.4194
11/12/2020 13:06,0.3707,0.248,0.3896,0.4187
11/12/2020 13:36,0.37,0.248,0.3889,0.4187
11/12/2020 14:06,0.3693,0.2472,0.3881,0.4179
11/12/2020 14:36,0.3693,0.2472,0.3874,0.4179
11/12/2020 15:06,0.3693,0.2472,0.3867,0.4187
11/12/2020 15:36,0.3693,0.2472,0.386,0.4179
11/12/2020 16:06,0.3685,0.2472,0.3852,0.4179
11/12/2020 16:36,0.3678,0.2472,0.3838,0.4165
11/12/2020 17:06,0.3685,0.2465,0.3831,0.4172
11/12/2020 17:36,0.3664,0.2465,0.3816,0.4157
11/12/2020 18:06,0.3656,0.2465,0.3823,0.415
11/12/2020 18:36,0.3671,0.2465,0.3823,0.4165
11/12/2020 19:06,0.3649,0.2458,0.3809,0.415
11/12/2020 19:36,0.3649,0.2458,0.3809,0.4157
11/12/2020 20:06,0.3649,0.2458,0.3802,0.4165
11/12/2020 20:36,0.3635,0.2458,0.3809,0.4143
11/12/2020 21:06,0.3627,0.2458,0.3802,0.4143
11/12/2020 21:36,0.3627,0.2451,0.3802,0.4143
11/12/2020 22:06,0.3635,0.2451,0.3794,0.4143
11/12/2020 22:36,0.3635,0.2451,0.3802,0.415
11/12/2020 23:06,0.3627,0.2451,0.3794,0.415
11/12/2020 23:36,0.3627,0.2443,0.3794,0.415
11/13/20 12:06:37 AM,0.362,0.2443,0.3794,0.415
11/13/20 12:36:37 AM,0.3627,0.2443,0.3787,0.415
11/13/20 01:06:37 AM,0.3627,0.2436,0.3787,0.415
11/13/20 01:36:37 AM,0.362,0.2436,0.3787,0.415
11/13/20 02:06:37 AM,0.3613,0.2436,0.378,0.4143
11/13/20 02:36:37 AM,0.3613,0.2436,0.3787,0.4136
11/13/20 03:06:37 AM,0.3598,0.2436,0.3773,0.4121
11/13/20 03:36:37 AM,0.3605,0.2429,0.378,0.4136
11/13/20 04:06:37 AM,0.3605,0.2429,0.3773,0.4136
11/13/20 04:36:37 AM,0.3598,0.2429,0.3773,0.4128
11/13/20 05:06:37 AM,0.3584,0.2429,0.3773,0.4121
11/13/20 05:36:37 AM,0.3584,0.2429,0.3765,0.4121
11/13/20 06:06:37 AM,0.3591,0.2422,0.3765,0.4128
11/13/20 06:36:37 AM,0.3591,0.2422,0.3758,0.4128
11/13/20 07:06:37 AM,0.3584,0.2422,0.3758,0.4121
11/13/20 07:36:37 AM,0.3576,0.2422,0.3758,0.4121
11/13/20 08:06:37 AM,0.3569,0.2414,0.3758,0.4107
11/13/20 08:36:37 AM,0.3562,0.2414,0.3743,0.4099
11/13/20 09:06:37 AM,0.3569,0.2414,0.3751,0.4114
11/13/20 09:36:37 AM,0.3576,0.2407,0.3743,0.4107
11/13/20 10:06:37 AM,0.3562,0.2407,0.3743,0.4099
11/13/20 10:36:37 AM,0.3547,0.2407,0.3743,0.4085
11/13/20 11:06:37 AM,0.354,0.2407,0.3722,0.407
11/13/20 11:36:37 AM,0.3547,0.2407,0.3714,0.4078
11/13/20 12:06:37 PM,0.3547,0.2407,0.3707,0.407
11/13/20 12:36:37 PM,0.3547,0.2407,0.37,0.407
11/13/20 01:06:37 PM,0.354,0.2407,0.3693,0.4063
11/13/20 01:36:37 PM,0.354,0.24,0.3685,0.4056
11/13/20 02:06:37 PM,0.3526,0.24,0.3678,0.4056
11/13/20 02:36:37 PM,0.3526,0.24,0.3671,0.4056
11/13/20 03:06:37 PM,0.3518,0.24,0.3671,0.4049
11/13/20 03:36:37 PM,0.3511,0.24,0.3664,0.4041
11/13/20 04:06:37 PM,0.3511,0.24,0.3649,0.4034
11/13/20 04:36:37 PM,0.3504,0.2392,0.3642,0.4034
11/13/20 05:06:37 PM,0.3496,0.2392,0.3642,0.4034
11/13/20 05:36:37 PM,0.3496,0.2392,0.3635,0.4027
11/13/20 06:06:37 PM,0.3482,0.2392,0.362,0.4027
