date,probe_1,probe_2,probe_3,probe_4
01/23/20 12:31:01 AM,0.2073,0.0722,0.0889,0.1615
01/23/20 01:01:01 AM,0.208,0.0722,0.0889,0.1615
01/23/20 01:31:01 AM,0.2073,0.0722,0.0889,0.1615
01/23/20 02:01:01 AM,0.2073,0.0715,0.0882,0.1615
01/23/20 02:31:01 AM,0.2073,0.0722,0.0882,0.1615
01/23/20 03:01:01 AM,0.208,0.0715,0.0882,0.1608
01/23/20 03:31:01 AM,0.2066,0.0715,0.0882,0.1601
01/23/20 04:01:01 AM,0.2066,0.0715,0.0889,0.1608
01/23/20 04:31:01 AM,0.2073,0.0715,0.0882,0.1608
01/23/20 05:01:01 AM,0.2066,0.0715,0.0882,0.1601
01/23/20 05:31:01 AM,0.2066,0.0715,0.0882,0.1608
01/23/20 06:01:01 AM,0.2066,0.0715,0.0882,0.1601
01/23/20 06:31:01 AM,0.2058,0.0715,0.0882,0.1601
01/23/20 07:01:01 AM,0.2066,0.0715,0.0882,0.1601
01/23/20 07:31:01 AM,0.2066,0.0707,0.0882,0.1601
01/23/20 08:01:01 AM,0.2066,0.0715,0.0882,0.1601
01/23/20 08:31:01 AM,0.2058,0.0715,0.0882,0.1601
01/23/20 09:01:01 AM,0.2058,0.0715,0.0889,0.1601
01/23/20 09:31:01 AM,0.2058,0.0715,0.0889,0.1601
01/23/20 10:01:01 AM,0.2066,0.0715,0.0889,0.1601
01/23/20 10:31:01 AM,0.2058,0.0707,0.0896,0.1594
01/23/20 11:01:01 AM,0.2058,0.0715,0.0889,0.1601
01/23/20 11:31:01 AM,0.2058,0.07,0.0882,0.1586
01/23/20 12:01:01 PM,0.2058,0.0707,0.0889,0.1601
01/23/20 12:31:01 PM,0.2051,0.07,0.0889,0.1601
01/23/20 01:01:01 PM,0.2051,0.0707,0.0896,0.1601
01/23/20 01:31:01 PM,0.2051,0.0707,0.0889,0.1594
01/23/20 02:01:01 PM,0.2051,0.0707,0.0882,0.1601
01/23/20 02:31:01 PM,0.2058,0.0715,0.0874,0.1601
01/23/20 03:01:01 PM,0.2051,0.0715,0.0874,0.1601
01/23/20 03:31:01 PM,0.2051,0.0715,0.0874,0.1601
01/23/20 04:01:01 PM,0.2051,0.0715,0.0874,0.1601
01/23/20 04:31:01 PM,0.2051,0.0715,0.0874,0.1601
01/23/20 05:01:01 PM,0.2051,0.0707,0.0889,0.1601
01/23/20 05:31:01 PM,0.2051,0.0707,0.0889,0.1601
01/23/20 06:01:01 PM,0.2051,0.0707,0.0889,0.1601
01/23/20 06:31:01 PM,0.2051,0.0707,0.0889,0.1594
01/23/20 07:01:01 PM,0.2051,0.0707,0.0889,0.1594
01/23/20 07:31:01 PM,0.2051,0.0715,0.0882,0.1594
01/23/20 08:01:01 PM,0.2051,0.0715,0.0882,0.1586
01/23/20 08:31:01 PM,0.2044,0.0715,0.0882,0.1586
01/23/20 09:01:01 PM,0.2044,0.0715,0.0889,0.1579
01/23/20 09:31:01 PM,0.2044,0.0715,0.0889,0.1586
01/23/20 10:01:01 PM,0.2044,0.0715,0.0889,0.1579
01/23/20 10:31:01 PM,0.2044,0.0707,0.0882,0.1579
01/23/20 11:01:01 PM,0.2044,0.0715,0.0874,0.1572
01/23/20 11:31:01 PM,0.2037,0.07,0.0874,0.1572
01/24/20 12:01:01 AM,0.2037,0.07,0.0867,0.1572
01/24/20 12:31:01 AM,0.2037,0.07,0.0874,0.1564
01/24/20 01:01:01 AM,0.2037,0.07,0.0867,0.1564
01/24/20 01:31:01 AM,0.2037,0.07,0.0867,0.1564
01/24/20 02:01:01 AM,0.2037,0.07,0.0867,0.1564
01/24/20 02:31:01 AM,0.2037,0.07,0.0867,0.1564
01/24/20 03:01:01 AM,0.2029,0.07,0.0867,0.1564
01/24/20 03:31:01 AM,0.2029,0.07,0.0867,0.1564
01/24/20 04:01:01 AM,0.2029,0.07,0.0867,0.1557
01/24/20 04:31:01 AM,0.2037,0.07,0.0867,0.1557
01/24/20 05:01:01 AM,0.2029,0.07,0.0867,0.1557
01/24/20 05:31:01 AM,0.2029,0.07,0.0867,0.1557
01/24/20 06:01:01 AM,0.2029,0.07,0.0867,0.1557
01/24/20 06:31:01 AM,0.2029,0.07,0.0867,0.1557
01/24/20 07:01:01 AM,0.2029,0.07,0.0867,0.155
01/24/20 07:31:01 AM,0.2022,0.07,0.0867,0.1557
01/24/20 08:01:01 AM,0.2022,0.0693,0.086,0.155
01/24/20 08:31:01 AM,0.2022,0.0693,0.086,0.155
01/24/20 09:01:01 AM,0.2022,0.0693,0.0867,0.155
01/24/20 09:31:01 AM,0.2022,0.0693,0.086,0.155
01/24/20 10:01:01 AM,0.2022,0.07,0.0867,0.155
01/24/20 10:31:01 AM,0.2015,0.07,0.0874,0.155
01/24/20 11:01:01 AM,0.2015,0.07,0.0874,0.155
01/24/20 11:31:01 AM,0.2015,0.07,0.0874,0.155
01/24/20 12:01:01 PM,0.2015,0.0693,0.0874,0.155
01/24/20 12:31:01 PM,0.2015,0.07,0.0882,0.155
01/24/20 01:01:01 PM,0.2015,0.07,0.0874,0.1543
01/24/20 01:31:01 PM,0.2015,0.07,0.086,0.155
01/24/20 02:01:01 PM,0.2008,0.07,0.086,0.155
01/24/20 02:31:01 PM,0.2008,0.07,0.086,0.1543
01/24/20 03:01:01 PM,0.2008,0.07,0.086,0.155
01/24/20 03:31:01 PM,0.2008,0.07,0.086,0.155
01/24/20 04:01:01 PM,0.2008,0.0707,0.086,0.1557
01/24/20 04:31:01 PM,0.2008,0.0693,0.0867,0.1543
01/24/20 05:01:01 PM,0.2008,0.0693,0.0867,0.155
01/24/20 05:31:01 PM,0.2015,0.0693,0.0867,0.1543
01/24/20 06:01:01 PM,0.2015,0.0693,0.0867,0.155
01/24/20 06:31:01 PM,0.2008,0.07,0.0874,0.1543
01/24/20 07:01:01 PM,0.2008,0.0693,0.0867,0.1535
01/24/20 07:31:01 PM,0.2008,0.0693,0.0867,0.1528
01/24/20 08:01:01 PM,0.2,0.07,0.086,0.1543
01/24/20 08:31:01 PM,0.2,0.07,0.0882,0.1535
01/24/20 09:01:01 PM,0.2,0.07,0.0867,0.1535
01/24/20 09:31:01 PM,0.2,0.07,0.0867,0.1528
01/24/20 10:01:01 PM,0.2,0.07,0.0867,0.1535
01/24/20 10:31:01 PM,0.1993,0.07,0.0867,0.1528
01/24/20 11:01:01 PM,0.1993,0.0693,0.0867,0.1521
01/24/20 11:31:01 PM,0.1993,0.0693,0.086,0.1521
01/25/20 12:01:01 AM,0.1993,0.0693,0.0853,0.1528
