R J Hill Laboratories Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Format:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory Job Number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Version:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interim:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancelled:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amendment:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amendment Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Registered:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Creation Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Contact Name:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Contact Address:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Submitter Name:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Submitter Address:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Name:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Address:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charging Name:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charging Address:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quote Number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Order Number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Reference:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Client Reference:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyst Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The results contained within this file are not to be considered as final.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"      Official confirmation of results will be in the form of a final signed report, either in printed or electronic format.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Test Name:,pH,Olsen Phosphorus,Potassium,Calcium,Magnesium,Sodium,Organic Matter,Total Carbon,Total Nitrogen,'Total' Phosphorus,Potassium,Calcium,Magnesium,Sodium,Potassium,Calcium,Magnesium,Sodium,CEC,Total Base Saturation,Volume Weight,me/100g,Base Saturation %,MAF Units,Additional Properties
,,,,Test Code:,pH,OP_mg/L,KMAF,CaMAF,MgMAF,NaMAF,OM_%,tC_%,tN_%,tP_mg/kg,K_me/100g,Ca_me/100g,Mg_me/100g,Na_me/100g,KSat,CaSat,MgSat,NaSat,CEC,tBS,VW_g/mL,meUnits,BSatUnits,MAFUnits,AddProps
,,,,Sample Fraction:,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SARDigOES,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG,SDG
,,,,Test Unit:,pH Units,mg/L,MAF units,MAF units,MAF units,MAF units,%,%,%,mg/kg,me/100g,me/100g,me/100g,me/100g,%BS,%BS,%BS,%BS,me/100g,%,g/mL,,,,
Sample Number,Sample Name,Sample Type,Requested Activities,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Crithmifolius 1_0-5,"SOIL General, Outdoor","WetChem, SWetFee, OM, BS, tNNir, tP",,6,11,7,9,45,2,1.2,0.7,0.08,795,0.28,5.7,1.63,< 0.05,2.4,49,14.1,0.4,12,66,1.22,"K 0.28	Ca 5.7	Mg 1.63	Na < 0.05","K 2.4	Ca 49	Mg 14.1	Na 0.4","K 7	Ca 9	Mg 45	Na 2","Cation Exchange Capacity (me/100g)	12 Total Base Saturation (%)		66 Volume Weight (g/mL)			1.22"
2,Crithmifolius 1_5-10,"SOIL General, Outdoor","WetChem, SWetFee, OM, BS, tNNir, tP",,6,11,5,9,43,3,1.3,0.7,0.07,716,0.21,6.2,1.63,0.05,1.7,50,13.2,0.4,12,65,1.16,"K 0.21	Ca 6.2	Mg 1.63	Na 0.05","K 1.7	Ca 50	Mg 13.2	Na 0.4","K 5	Ca 9	Mg 43	Na 3","Cation Exchange Capacity (me/100g)	12 Total Base Saturation (%)		65 Volume Weight (g/mL)			1.16"
3,Crithmifolius 2_0-5,"SOIL General, Outdoor","WetChem, SWetFee, OM, BS, tNNir, tP",,6.1,14,8,13,67,3,0.5,0.3,0.05,728,0.3,7.3,2.16,< 0.05,2.2,55,16.2,0.4,13,74,1.39,"K 0.30	Ca 7.3	Mg 2.16	Na < 0.05","K 2.2	Ca 55	Mg 16.2	Na 0.4","K 8	Ca 13	Mg 67	Na 3","Cation Exchange Capacity (me/100g)	13 Total Base Saturation (%)		74 Volume Weight (g/mL)			1.39"
