TRINITY_DN0_c0_g1	AT5G58270.1
TRINITY_DN1_c0_g1	AT3G14470.2
TRINITY_DN1_c1_g1	AT3G59690.2
TRINITY_DN10_c0_g1	AT3G26120.1
TRINITY_DN100_c0_g1	AT3G08710.3
TRINITY_DN1000_c0_g1	AT1G14290.1
TRINITY_DN10003_c0_g1	AT1G13570.2
TRINITY_DN10004_c0_g1	AT2G23790.1
TRINITY_DN10006_c0_g1	AT1G56230.2
TRINITY_DN10008_c0_g2	AT1G02850.2
TRINITY_DN10008_c0_g3	AT1G02850.3
TRINITY_DN10008_c1_g1	AT1G02850.2
TRINITY_DN10009_c0_g1	AT5G55390.3
TRINITY_DN10010_c0_g1	AT1G26665.1
TRINITY_DN10017_c0_g1	AT5G01520.1
TRINITY_DN1002_c0_g1	AT2G31750.1
TRINITY_DN1002_c0_g2	AT3G46670.1
TRINITY_DN1002_c1_g1	AT4G34139.1
TRINITY_DN10020_c0_g1	AT3G62550.1
TRINITY_DN10026_c0_g2	AT3G47890.2
TRINITY_DN10028_c0_g1	AT1G31770.1
TRINITY_DN10029_c0_g1	AT5G39940.1
TRINITY_DN10029_c1_g1	AT5G26010.1
TRINITY_DN1003_c0_g1	AT5G13120.2
TRINITY_DN10030_c0_g1	AT1G23180.2
TRINITY_DN10031_c0_g1	AT4G30810.1
TRINITY_DN10033_c0_g1	AT5G51190.1
TRINITY_DN10035_c0_g2	AT5G03650.1
TRINITY_DN10036_c0_g1	AT1G78790.4
TRINITY_DN10038_c0_g1	AT4G11670.1
TRINITY_DN1004_c0_g1	AT3G21810.1
TRINITY_DN10043_c0_g1	AT4G26530.3
TRINITY_DN10043_c0_g2	AT2G41120.1
TRINITY_DN10044_c0_g1	AT1G63855.4
TRINITY_DN10046_c0_g1	AT5G45170.1
TRINITY_DN10048_c0_g1	AT5G10020.2
TRINITY_DN10049_c0_g1	AT2G38290.1
TRINITY_DN10049_c0_g2	AT2G38290.1
TRINITY_DN10050_c0_g1	AT1G53460.1
TRINITY_DN10050_c1_g1	AT1G18680.1
TRINITY_DN10051_c0_g1	AT3G20060.1
TRINITY_DN10055_c0_g1	AT1G05670.3
TRINITY_DN10056_c0_g1	AT1G56650.1
TRINITY_DN1006_c0_g1	AT4G15093.1
TRINITY_DN10061_c0_g1	AT2G39220.1
TRINITY_DN10061_c0_g3	AT2G39220.1
TRINITY_DN10063_c0_g1	AT3G02770.1
TRINITY_DN10067_c0_g1	AT3G14580.1
TRINITY_DN10068_c0_g1	AT1G77180.2
TRINITY_DN10069_c0_g1	AT3G06960.1
TRINITY_DN1007_c0_g1	AT5G40380.3
TRINITY_DN10070_c0_g1	AT2G20210.1
TRINITY_DN10074_c0_g1	AT4G23160.3
TRINITY_DN10075_c0_g1	AT5G67385.1
TRINITY_DN10075_c1_g1	AT1G75660.1
TRINITY_DN10077_c0_g1	AT4G17430.1
TRINITY_DN10078_c0_g1	AT5G55260.1
TRINITY_DN1008_c0_g1	AT2G47390.1
TRINITY_DN10080_c0_g1	AT5G39710.1
TRINITY_DN10086_c2_g1	AT2G28110.1
TRINITY_DN10091_c1_g1	AT5G48450.1
TRINITY_DN10097_c0_g1	AT1G55620.2
TRINITY_DN10099_c0_g1	AT5G21150.1
TRINITY_DN101_c0_g1	AT1G08200.1
TRINITY_DN1010_c0_g1	AT4G10080.1
TRINITY_DN10100_c0_g1	AT5G49610.1
TRINITY_DN10101_c0_g1	AT2G05990.2
TRINITY_DN10103_c0_g1	AT4G24670.2
TRINITY_DN10105_c0_g1	AT5G65590.1
TRINITY_DN10107_c0_g1	AT5G42700.1
